id,school_name,is_verified,created_by,created_at,updated_at
158,"UNIVERSITY OF PIERRE AND MARIE CURIE, PARIS 6",0,,2024-12-22 15:59:09,2024-12-22 15:59:09
159,"UNIVERSITY PIERRE AND MARIE CURIE, PARIS 6",0,,2024-12-22 15:59:09,2024-12-22 15:59:09
160,CY TECH - CY CERGY PARIS UNIVERSITÉ,0,,2024-12-22 16:00:34,2024-12-22 16:00:34
161,NOT SPECIFIED,0,,2024-12-22 16:01:32,2024-12-22 16:01:32
162,UNIVERSITÉ SORBONNE PARIS NORD,0,,2024-12-22 16:03:12,2024-12-22 16:03:12
163,CQF,0,,2024-12-22 16:05:30,2024-12-22 16:05:30
164,ENSIMAG-INPG,0,,2024-12-22 16:05:30,2024-12-22 16:05:30
165,UNIVERSITÉ CADI AYYAD - ECOLE NATIONALE DES SCIENCES APPLIQUÉES DE SAFI (ENSAS),0,,2024-12-22 16:06:16,2024-12-22 16:06:16
166,UNIVERSITÉ IBN ZOHR - ECOLE SUPÉRIEURE DE TECHNOLOGIE D’AGADIR (ESTA),0,,2024-12-22 16:06:16,2024-12-22 16:06:16
167,UNIVERSITÉ DE TECHNOLOGIE DE TROYES,0,,2024-12-22 16:08:12,2024-12-22 16:08:12
168,UNIVERSITÉ PARIS-SACLAY,0,,2024-12-22 16:08:12,2024-12-22 16:08:12
169,ESGB- MOHAMMED VI UNIVERSITY OF HEALTH SCIENCES-UM6SS-CASABLANCA,0,,2024-12-22 17:34:35,2024-12-22 17:34:35
170,OKBA INB NAFEA CENTER-DAKHLA,0,,2024-12-22 17:34:35,2024-12-22 17:34:35
171,"FACULTÉ DES SCIENCES AIN CHOCK - CASABLANCA, MAROC",0,,2024-12-22 17:34:44,2024-12-22 17:34:44
172,"LYCÉE OTHMANE IBN AFFANE CASABLANCA, MAROC",0,,2024-12-22 17:34:44,2024-12-22 17:34:44
173,IFP SCHOOL (ECOLE DU PÉTROLE ET DES MOTEURS),0,,2024-12-26 15:03:09,2024-12-26 15:03:09
174,ESPCI (PHYSICS & CHEMISTRY),0,,2024-12-26 15:03:09,2024-12-26 15:03:09
175,"FACULTÉ DES SCIENCES AIN CHOCK, CASABLANCA, MAROC",0,,2024-12-26 15:11:51,2024-12-26 15:11:51
176,"LYCÉE OTHMANE IBN AFFANE, CASABLANCA, MAROC",0,,2024-12-26 15:11:51,2024-12-26 15:11:51
177,"UNIVERSITY OF DAUPHINE, PARIS",0,,2025-01-08 09:56:50,2025-01-08 09:56:50
178,UNIVERSITY OF SIENA,0,,2025-01-08 15:45:02,2025-01-08 15:45:02
179,"UNIVERSITY OF PAUL SABATIER, TOULOUSE",0,,2025-01-08 15:55:25,2025-01-08 15:55:25
180,"UNIVERSITY OF SOCIAL SCIENCES, TOULOUSE",0,,2025-01-08 15:55:26,2025-01-08 15:55:26
181,INSTITUT MINES-TELECOM – PARIS,0,,2025-01-10 14:01:19,2025-01-10 14:01:19
182,UNIVERSITY PARIS-DAUPHINE – PARIS,0,,2025-01-10 14:01:20,2025-01-10 14:01:20
183,WESTMINSTER BUSINESS SCHOOL – LONDON,0,,2025-01-10 14:01:20,2025-01-10 14:01:20
184,HIGH SCHOOL DESCARTES – RABAT,0,,2025-01-10 14:01:21,2025-01-10 14:01:21
185,"UNIVERSITY OF PARIS-EVRY, FRANCE",0,,2025-01-17 11:04:00,2025-01-17 11:04:00
186,"UNIVERSITY OF PARIS 1 PANTHEON-SORBONNE, FRANCE",0,,2025-01-17 11:04:01,2025-01-17 11:04:01
187,HIGH SCHOOL ROBERT DOISNEAU,0,,2025-01-17 11:04:01,2025-01-17 11:04:01
188,JNTU HYDERABAD,0,,2025-01-17 11:07:01,2025-01-17 11:07:01
189,INSTITUT D’INGÉNIERIE INFORMATIQUE DE LIMOGES,0,,2025-01-17 23:29:19,2025-01-17 23:29:19
190,"ÉCOLE MAROCAINE DES SCIENCES DE L'INGÉNIEUR (EMSI), RABAT",0,,2025-02-28 17:08:47,2025-02-28 17:08:47
191,"FACULTÉ DES SCIENCES ET TECHNIQUES (FST), MOHAMMEDIA",0,,2025-02-28 17:08:47,2025-02-28 17:08:47
192,"LYCÉE NEWTON, MOHAMMEDIA",0,,2025-02-28 17:08:47,2025-02-28 17:08:47
